timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0.000000,0.008699,0.010225,1.000998,0.052196,0.048415,0.019471
0.019231,0.010190,0.011355,1.001478,0.058625,0.052901,0.023825
0.038462,0.011607,0.012352,1.001954,0.064840,0.057109,0.027956
0.057692,0.012942,0.013203,1.002426,0.070818,0.061017,0.031827
0.076923,0.014183,0.013897,1.002891,0.076538,0.064604,0.035400
0.096154,0.015324,0.014428,1.003351,0.081979,0.067852,0.038643
0.115385,0.016355,0.014788,1.003802,0.087120,0.070744,0.041524
0.134615,0.017269,0.014973,1.004244,0.091944,0.073264,0.044019
0.153846,0.018060,0.014982,1.004677,0.096432,0.075399,0.046102
0.173077,0.018721,0.014813,1.005098,0.100568,0.077138,0.047755
0.192308,0.019249,0.014470,1.005508,0.104338,0.078471,0.048962
0.211538,0.019639,0.013955,1.005905,0.107726,0.079393,0.049711
0.230769,0.019888,0.013276,1.006288,0.110722,0.079897,0.049997
0.250000,0.019995,0.012440,1.006656,0.113314,0.079981,0.049816
0.269231,0.019960,0.011457,1.007009,0.115492,0.079645,0.049170
0.288462,0.019782,0.010338,1.007345,0.117248,0.078891,0.048064
0.307692,0.019462,0.009097,1.007665,0.118577,0.077723,0.046510
0.326923,0.019003,0.007749,1.007966,0.119473,0.076146,0.044522
0.346154,0.018408,0.006309,1.008249,0.119933,0.074169,0.042118
0.365385,0.017682,0.004795,1.008512,0.119956,0.071802,0.039320
0.384615,0.016829,0.003224,1.008756,0.119541,0.069058,0.036156
0.403846,0.015856,0.001615,1.008979,0.118690,0.065951,0.032654
0.423077,0.014769,-0.000013,1.009181,0.117405,0.062498,0.028847
0.442308,0.013577,-0.001641,1.009362,0.115692,0.058717,0.024771
0.461538,0.012288,-0.003249,1.009521,0.113557,0.054627,0.020463
0.480769,0.010911,-0.004819,1.009657,0.111008,0.050250,0.015965
0.500000,0.009456,-0.006333,1.009772,0.108054,0.045609,0.011317
0.519231,0.007934,-0.007771,1.009863,0.104705,0.040728,0.006564
0.538462,0.006354,-0.009118,1.009931,0.100974,0.035633,0.001749
